时间,最高值,最低值,TRUE/FALSE,压强差值,匹配压强值,腔体编号,压强值_1,压强值_2,压强值_3,压强值_4,压强值_5,压强值_6,压强值_7,压强值_8,压强值_9,压强值_10,压强值_11,压强值_12,压强值_13,压强值_14,压强值_15,压强值_16,压强值_17,压强值_18,压强值_19,压强值_20,压强值_21,压强值_22,压强值_23,压强值_24,压强值_25,压强值_26,压强值_27,压强值_28,压强值_29,压强值_30,压强值_31,压强值_32,压强值_33,压强值_34,压强值_35,压强值_36,压强值_37,压强值_38,压强值_39
2025-03-28 10:44:06,-681.858,-677.3,True,4.557,-681.86,24,-680.3,-680.3,-680.3,-679.4,-679.4,-679.4,-679.4,-678.75,-678.75,-678.75,-678.75,-678.75,-678.75,-678.24,-678.24,-678.24,-678.24,-677.84,-677.84,-677.84,-677.84,-677.55,-677.55,-677.55,-677.55,-677.55,-677.3,-677.55,-677.3,-677.3,-677.3,-677.3,-29.44,-29.44,-29.44,-29.44,-29.44,0.0,0.0
2025-03-28 10:44:06,-681.858,-677.3,True,4.557,-681.86,24,-680.3,-680.3,-680.3,-679.4,-679.4,-679.4,-679.4,-678.75,-678.75,-678.75,-678.75,-678.75,-678.75,-678.24,-678.24,-678.24,-678.24,-677.84,-677.84,-677.84,-677.84,-677.55,-677.55,-677.55,-677.55,-677.55,-677.3,-677.55,-677.3,-677.3,-677.3,-677.3,-29.44,-29.44,-29.44,-29.44,-29.44,0.0,0.0
2025-03-28 10:44:06,-681.858,-677.3,True,4.557,-681.86,24,-680.3,-680.3,-680.3,-679.4,-679.4,-679.4,-679.4,-678.75,-678.75,-678.75,-678.75,-678.75,-678.75,-678.24,-678.24,-678.24,-678.24,-677.84,-677.84,-677.84,-677.84,-677.55,-677.55,-677.55,-677.55,-677.55,-677.3,-677.55,-677.3,-677.3,-677.3,-677.3,-29.44,-29.44,-29.44,-29.44,-29.44,0.0,0.0
2025-03-28 10:44:06,-681.858,-677.3,True,4.557,-681.86,24,-680.3,-680.3,-680.3,-679.4,-679.4,-679.4,-679.4,-678.75,-678.75,-678.75,-678.75,-678.75,-678.75,-678.24,-678.24,-678.24,-678.24,-677.84,-677.84,-677.84,-677.84,-677.55,-677.55,-677.55,-677.55,-677.55,-677.3,-677.55,-677.3,-677.3,-677.3,-677.3,-29.44,-29.44,-29.44,-29.44,-29.44,0.0,0.0
2025-03-28 10:44:06,-681.858,-677.3,True,4.557,-681.86,24,-680.3,-680.3,-680.3,-679.4,-679.4,-679.4,-679.4,-678.75,-678.75,-678.75,-678.75,-678.75,-678.75,-678.24,-678.24,-678.24,-678.24,-677.84,-677.84,-677.84,-677.84,-677.55,-677.55,-677.55,-677.55,-677.55,-677.3,-677.55,-677.3,-677.3,-677.3,-677.3,-29.44,-29.44,-29.44,-29.44,-29.44,0.0,0.0
2025-03-28 10:44:06,-681.858,-677.3,True,4.557,-681.86,24,-680.3,-680.3,-680.3,-679.4,-679.4,-679.4,-679.4,-678.75,-678.75,-678.75,-678.75,-678.75,-678.75,-678.24,-678.24,-678.24,-678.24,-677.84,-677.84,-677.84,-677.84,-677.55,-677.55,-677.55,-677.55,-677.55,-677.3,-677.55,-677.3,-677.3,-677.3,-677.3,-29.44,-29.44,-29.44,-29.44,-29.44,0.0,0.0
2025-03-28 10:44:06,-681.858,-677.3,True,4.557,-681.86,24,-680.3,-680.3,-680.3,-679.4,-679.4,-679.4,-679.4,-678.75,-678.75,-678.75,-678.75,-678.75,-678.75,-678.24,-678.24,-678.24,-678.24,-677.84,-677.84,-677.84,-677.84,-677.55,-677.55,-677.55,-677.55,-677.55,-677.3,-677.55,-677.3,-677.3,-677.3,-677.3,-29.44,-29.44,-29.44,-29.44,-29.44,0.0,0.0
2025-03-28 10:44:06,-681.858,-677.3,True,4.557,-681.86,24,-680.3,-680.3,-680.3,-679.4,-679.4,-679.4,-679.4,-678.75,-678.75,-678.75,-678.75,-678.75,-678.75,-678.24,-678.24,-678.24,-678.24,-677.84,-677.84,-677.84,-677.84,-677.55,-677.55,-677.55,-677.55,-677.55,-677.3,-677.55,-677.3,-677.3,-677.3,-677.3,-29.44,-29.44,-29.44,-29.44,-29.44,0.0,0.0
2025-03-28 10:44:07,-513.455,-495.407,False,18.048,-513.45,1,-513.45,-513.45,-513.45,-505.03,-505.03,-505.03,-505.03,-505.03,-500.65,-500.65,-500.65,-500.65,-500.65,-500.65,-498.59,-498.59,-498.59,-498.59,-497.47,-497.47,-497.47,-497.47,-497.47,-497.47,-496.71,-496.71,-496.71,-496.71,-496.2,-496.2,-496.2,-496.2,-495.77,-495.77,-495.77,-495.77,-495.77,-495.77,-495.77
2025-03-28 10:44:07,-651.584,-647.895,True,3.689,-651.58,2,-649.92,-649.92,-649.92,-649.92,-649.23,-649.23,-649.23,-649.23,-649.23,-649.23,-648.76,-648.76,-648.76,-648.76,-648.51,-648.51,-648.51,-648.51,-648.29,-648.29,-648.29,-648.29,-648.29,-648.29,-648.11,-648.11,-648.11,-648.11,-648.11,-4.56,-4.56,-4.56,-4.56,-4.56,-4.56,-4.56,-4.56,-4.56,-4.56
2025-03-28 10:44:07,-677.734,-675.13,True,2.604,-677.73,3,-676.36,-676.36,-676.36,-676.36,-676.07,-676.07,-676.07,-676.07,-676.07,-676.07,-675.82,-675.82,-675.82,-675.82,-675.6,-675.6,-675.6,-675.6,-675.6,-3.29,-3.29,-3.29,-3.29,-3.29,-3.29,-3.29,-3.29,-3.29,-3.29,-3.29,-3.29,-3.29,-3.29,-3.29,-3.29,-3.29,-3.29,-3.29,-3.29
2025-03-28 10:44:08,-647.352,-640.987,True,6.366,-647.35,4,-645.11,-645.11,-645.11,-645.11,-643.88,-643.88,-643.88,-643.88,-643.88,-643.88,-643.01,-643.01,-643.01,-643.01,-642.33,-642.33,-642.33,-642.33,-642.33,-1.59,-1.59,-1.59,-1.59,-1.59,-1.59,-1.59,-1.59,-1.59,-1.59,-1.59,-1.59,-1.59,-1.59,-1.59,-1.59,-1.59,-1.59,-1.59,-1.59
2025-03-28 10:44:08,-631.764,-627.423,True,4.34,-631.76,5,-630.03,-630.03,-630.03,-630.03,-630.03,-629.38,-629.38,-629.38,-629.38,-2.35,-2.35,-2.35,-2.35,-2.35,-2.35,-2.35,-2.35,-2.35,-2.35,-2.35,-2.35,-2.35,-2.35,-2.35,-2.35,-2.35,-2.35,-2.35,-2.35,-2.35,-2.35,-2.35,-2.35,-2.35,-2.35,-2.35,-2.35,-2.35,-2.35
2025-03-28 10:44:09,-676.215,-673.683,True,2.532,-676.22,6,-675.38,-675.38,-675.38,-675.38,-674.91,-674.91,-674.91,-674.91,-674.91,-4.81,-4.81,-4.81,-4.81,-4.81,-4.81,-4.81,-4.81,-4.81,-4.81,-4.81,-4.81,-4.81,-4.81,-4.81,-4.81,-4.81,-4.81,-4.81,-4.81,-4.81,-4.81,-4.81,-4.81,-4.81,-4.81,-4.81,-4.81,-4.81,-4.81
2025-03-28 10:44:09,-684.462,-679.868,True,4.593,-684.46,7,-4.56,-4.56,-4.56,-4.56,-4.56,-4.56,-4.56,-4.56,-4.56,-4.56,-4.56,-4.56,-4.56,-4.56,-4.56,-4.56,-4.56,-4.56,-4.56,-4.56,-4.56,-4.56,-4.56,-4.56,-4.56,-4.56,-4.56,-4.56,-4.56,-4.56,-4.56,-4.56,-4.56,-4.56,-4.56,-4.56,-4.56,-4.56,-4.56
2025-03-28 10:44:10,-629.557,-620.696,True,8.861,-629.56,8,-1.84,-1.84,-1.84,-1.84,-1.84,-1.84,-1.84,-1.84,-1.84,-1.84,-1.84,-1.84,-1.84,-1.84,-1.84,-1.84,-1.84,-1.84,-1.84,-1.84,-1.84,-1.84,-1.84,-1.84,-1.84,-1.84,-1.84,-1.84,-1.84,-1.84,-1.84,-1.84,-1.84,-1.84,-1.84,-1.84,-1.84,-1.84,-1.84
2025-03-28 10:44:11,-652.452,-648.401,True,4.051,-648.4,10,-648.4,-648.4,-648.4,-648.4,-648.4,-648.4,-648.4,-648.4,-648.4,-648.4,-648.4,-648.4,-648.4,-648.4,-648.4,-648.4,-648.4,-648.4,-648.4,-648.4,-648.4,-648.4,-648.4,-648.4,-648.4,-648.4,-648.4,-648.4,-648.4,-648.4,-648.4,-648.4,-648.4,-648.4,-648.4,-648.4,-648.4,-648.4,-648.4
2025-03-28 10:44:11,-640.553,-637.84,True,2.713,-637.91,11,-637.91,-637.91,-637.91,-637.91,-637.91,-637.91,-637.91,-637.91,-637.91,-637.91,-637.91,-637.91,-637.91,-637.91,-637.91,-637.91,-637.91,-637.91,-637.91,-637.91,-637.91,-637.91,-637.91,-637.91,-637.91,-637.91,-637.91,-637.91,-637.91,-637.91,-637.91,-637.91,-637.91,-637.91,-637.91,-637.91,-637.91,-637.91,-637.91
2025-03-28 10:44:12,-643.374,-637.985,True,5.389,-638.92,12,-638.92,-638.92,-638.92,-638.92,-638.92,-638.92,-638.92,-638.92,-638.92,-638.92,-638.92,-638.92,-638.92,-638.92,-638.92,-638.92,-638.92,-638.92,-638.92,-638.92,-638.92,-638.92,-638.92,-638.92,-638.92,-638.92,-638.92,-638.92,-638.92,-638.92,-638.92,-638.92,-638.92,-638.92,-638.92,-638.92,-638.92,-638.92,-638.92
2025-03-28 10:44:12,-669.126,-664.822,True,4.304,-665.91,13,-665.91,-665.91,-665.91,-665.91,-665.91,-665.91,-665.91,-665.91,-665.91,-665.91,-665.91,-665.91,-665.91,-665.91,-665.91,-665.91,-665.91,-665.91,-665.91,-665.91,-665.91,-665.91,-665.91,-665.91,-665.91,-665.91,-665.91,-665.91,-665.91,-665.91,-665.91,-665.91,-665.91,-665.91,-665.91,-665.91,-665.91,-665.91,-665.91
2025-03-28 10:44:13,-574.074,-565.683,False,8.391,-566.62,14,-566.62,-566.62,-566.62,-566.62,-566.62,-566.62,-566.62,-566.62,-566.62,-566.62,-566.62,-566.62,-566.62,-566.62,-566.62,-566.62,-566.62,-566.62,-566.62,-566.62,-566.62,-566.62,-566.62,-566.62,-566.62,-566.62,-566.62,-566.62,-566.62,-566.62,-566.62,-566.62,-566.62,-566.62,-566.62,-566.62,-566.62,-566.62,-566.62
